Alas;Indo;Domain;;History;Instructions;Culture/Tourism;Story/narrative;
si dhapet ni pelajakhi e hayak tapi salah satune si Nemu kite bhuet contoh ne mungkin bhage ,ulang nadhingken imbang ni bhagas pekhang,kesetieen imbang e ndk wayang bhelin ne akhti ne;;History;;;;;;
kakhene sejarah nde mengjakhken kite mbue hal,bhage contoh kecil ne bersungguh sungguh,nanem Ken sifat semangat juang;;History;;;;;;
Mahan pahlawan ku madhe sempat jumpe khut aku,tapi Ndak kae Edi kekhine Mahan pelajakhen bhagi kami untuk sendah melanjutken pekhjuangen ne membangun negkhi nde;;History;;;;;;
melalu jualen,cekhamah ,khut nawakhken bakhang bhahanen ne;;History;;;;;;
pemekhintah nde sendah malet te pekhcayai nange;;History;;;;;;
mejile,ndk wayang sikap nde kepekhcayaen agame tebhe daerah ato negakhe kami nde wali PE mbue Kane si sesat tapi malet kekhine si luakh jalukh akhi;;History;;;;;;
Dhe untuk anak anak khukhang sendah jilene sebhab ni tiktok mbue su pakenen si malet wajakh ni ato,tapi Dhe untuk kami si nggo mbelin nde mungkin Nemu kami sakhing kae si Nemu kami manfaatken teknologi nde nakhi;;History;;;;;;
Mahan kite khoh lempangne, sebhab motokh nde Nemu siat bakhang,ato bhabhanen kae pe,si Mahan kite ndk nae dhue kali petakhuh,ndk Kane kite kene hangat khut hudhan,njadhi menukhut ku mesikap me dampak ne;;History;;;;;;
sebhab sidhe tong nggeluh khut sehat, Alhamdulillah si bhegedhi e me Nate kami Soh bhe jaman anak kempu pagi,kune Kase anak kempu pagi Nemu mege cekhite sejakhah Kalak ndubhe akhi langsung;;History;;;;;;
mejile,mesikap,mesemban,apelagi gukhune paten,selain semangat kite bhelajakh semangat Kane kite laus nuntut ilmu pe gat;;History;;;;;;
nyanyien ato pe lagi genjekh genjekh si Mahan masyakhakat Indonesia nde tkhauma nginget kisah ndubhe waktu tong ni jajah Dhie;;History;;;;;;
sejakhah ibu Kartini Dhie amin sebhab iye mengjakhken kite nandai hukhup sehingga bhacakh te melilah;;History;;;;;;
pekhan ne mbue ,tapi si paling kite toh ne iye Mahan pabkhik ndapah Ken die;;History;;;;;;
bhali amin dhi dhue ne malet bedene tekhgantung penghuni Indonesia nde nale;;History;;;;;;
sejarah kehidupan q Edi me keturunan jeme malet;;NULL;;;;;;
si ku pikir sendah Edi me trus belajar supaye jadi jeme sukses terus bedoe khut Allah SWT;;NULL;;;;;;
si ngo membentuk geluh Edi me motivasi ni khang tue q ge;;NULL;;;;;;
dampak ganti budaye ni era globalisasi jaman sendah ni bages Indonesia Edi ni bahan kalak luar negeri;;History;;;;;;
peristiwe serangkaian si tejadi ni daerah q Ende silayar khut bhuru dinem;;History;;;;;;
cerite sejarah ni daerah q Ende me cerite silayar khut bhu dinem;;History;;;;;;
karene Aceh nde me provinsi serambi Mekah Edi me ni sebut provinsi khusus;;History;;;;;;
khoh bhende ne khoh ni ubah ne budaye nde,memang lot lebhe budaye nde khoh mbakat ne kite make se ,lot Kane lebhe budaye nde ni tadhingken atau pe ni kukhangi,bhage sosial pe khoh kukhang ne sendah pekhkembangen ne ,malet kadhepe ku khase si mekembang ni bhagas Edhi nampang;;History;;;;;;
ibu Kartini e,sebhab sidhe si ngajakhi kite nandai hukhup,sehingga sendah bhacakh te Ndak melilah ngendaliken dunie nde pe gat;;History;;;;;;
ibu Kartini ndae Kane sebhab sidhe mesemban,te bhuah pe tulus ngajakhi anak anak Indonesia si ndubhe sehingga lahekh anak anak Indonesia si sendah njadi ukhok ngakhungi dunie mejile medhalan;;History;;;;;;
let ndubhe aku laus bhe Berastagi ,si madhe ndauh dhalan ne Tanoh alas metuah nde nakhi,laus aku bedih metujunen lajang sambil khekhidi,tapi ku jumpai me sebhuah keluakhge si khidi pe iye jage ne jakhak ne khut Kalak si ntekhem akhi,pakenen ne malet mengundang haskhat non mukhrim ne,Soh bhe anak anak ne pe mejile kekhine pakenen ne sehingga aku mekhase lajang sekalien ni bekhe pelajakhen Kane untuk menjage dikhiku ande akhi bedih;;Culture/Tourism;;;;;;
"si pokhlu ni toh Kalak luakh Dhe mengket bhe daekhah kami Tanoh alas metuah nde budaye kami si tong leket Soh sendah,bahase kami si lot Kate ""kandu "" ne,lot Kane cekhite si layakh khut bekhu dihe,lot tule cekhite bekhu dinam khut si pihekh ni Mase kekekhahen kale";;Culture/Tourism;;;;;;
mange mbue su ku khoh i tapi bekhastagi dih tong menjadhi si paling tekhinget khinget aku sebhab penah jatuh cinte ni bekhastagi;;Culture/Tourism;;;;;;
sebhab pakenen adat alas nde menakhik pekhhatinen,mesemban negakhe khut hijo ne Mahan SE mpakhas Dhe mempkhomosi Ken Tanoh alas si tong hijo nde kane;;Culture/Tourism;;;;;;
malet tips si ni anjukhken,cuman untuk wisatawan ato PE Kalak si khoh kami hakhap menjage kebekhsihen ne,kesopanan ne khut cakhe ne pakenen ,sebhab kite tong leket Hawe ndubhe ne;;Culture/Tourism;;;;;;
Dhe lot acakhe pesenat khut pekawinken,ni jintoken me bhe kudhe ni khakhak sokhte ni payungi,ni ikhingi Kane khut lagam daekhah ato PE tangis dhilo khut canang situ;;Culture/Tourism;;;;;;
budaye nde Mahan kite Sitok mengembangkan pikekhen te sebhab mbue si mekaiten khut cakhe tatanen nggeluh;;Culture/Tourism;;;;;;
mejile ,dampak ne mejile mesemban me sikap;;Culture/Tourism;;;;;;
jamu si ni anjukhken doktokh bhali khut jamu si ni bhahan tukhun temukhun Ninik pekusunen kale nakhi;;Culture/Tourism;;;;;;
cekhite khakyat ni negeri kami nde Tanoh alas metuah Dhie lot kisah si layakh khut bekhu dihe natam akhi,kisah cinte si ni ganggu oleh pengulu mudhe,kemudinen singkat cekhite dhue bhelagakh nde mempekhtakhuhken nawe demi bhujang me semban si bhekhu dhihe;;Culture/Tourism;;;;;;
bekhastagi dih,lot tugu kol tugu pahlawan ne si menukhut ku menakhik;;Culture/Tourism;;;;;;
jinto kudhe Dhe dhang pesenatken enggek te si dhelaki sebhab kite ni pakeni sokhte ni khakhak khut ni lagami;;Culture/Tourism;;;;;;
pekhan agame Ndak wayang penting ne sebhab Dhe malet kin me agame kukhase malet tekhatuk ketekhe seks bebas ne,pakenen cinggil ne;;Culture/Tourism;;;;;;
bahasa nde Mahan kite mudah untuk saling memahami maksud ato PE sesuatu si sikel ni Soh Ken Kalak tebhe kite,sehingge kae pe si sikel kite sampe Ken Edi tekhsusun khapi sebhab bahase nggo tekhsusun khapi mejile;;Culture/Tourism;;;;;;
pendidiken pekhan mejile sebhab kite ni didik kite ni ajakhi sehingge kite faham kite mengekhti kae si kite tuju khut kite dhalani;;Culture/Tourism;;;;;;
kite tes amin kune Kase kite toh ketekhe Dhe anak anak memilih,tapi ku kashe kakhene anak anak mange metoh politik , lotonen maso kite pe loot Ken;;NULL;;;;;;
ku bhahan gat acakhe kisah cinte ku semule petame jumpe akhi Soh bhe petep ku khut iye,kae sebhab ne,ndape jumpe ne,ketekhe pengokhbanen ne;;NULL;;;;;;
Dhe ate gembikhe ,senang kite,malet beban pikekhen te tawe nge kite;;NULL;;;;;;
Dhie si ku anggap mejile bhujang si megedang bhuk ne ,mesemban khupe ne,mentakh semule cuik ne akhi Soh bhe bukhing ne,tapi sendah si mejile bhagi ku,si pencekhok ne khakhih,mate ne sayu pakenen ne menutupi aukhat ne,khut malet mbelin sanggul ne;;NULL;;;;;;
kas mebhahan si jumpe khut cinte ,ato PE cinte lokasi,Mahan semangat mebhahan mele Dhe ndk kemes;;NULL;;;;;;
Dhe unik Kase lucu kite kap,sebhab lebhe ndk lucu PE penampe ien jeme ne melilah Khami ne tawe Kane kite;;NULL;;;;;;
misalne laus be lawe harum, aku khidi khut manggang ikan sebab hawe ni hadi sejuk dan nyaman;;Culture/Tourism;;;;;;
khumah ndatas, pake atap sahung dinding ne papan pake tangge untuk nangkih dan tukhung;;Culture/Tourism;;;;;;
kite ato penangan ge halal ato hakham kemudian apakah mejile ato ndak;;NULL;;;;;;
Lakukan hal si mahan ate senang sebab kaepe bersumber dakhi ate;;NULL;;;;;;
Ngato lawak ni tv sebab lawak nemu mahan ate senang;;NULL;;;;;;
kakhene dikhi ne mange siap ngehadepi si mbiyakhine eee;;NULL;;;;;;
kakhene let sebab si sedihine te Edi ukhusen ne lah di ah;;NULL;;;;;;
kakhene ye aman khut sejahtera geluh ne bue syg bane;;NULL;;;;;;
si get ateku ni indonesia nde mbue suku budaye ne, mbelang negekhi ne, mbue pulo ne;;NULL;;;;;;
tekuni soh ukhok, dhe mange ukhok mange ngadhi, soh lihe bhe;;NULL;;;;;;
mbue niantakhene, cukhige, mengadhu malot jujukh, bukhuk sangke ndak mende;;NULL;;;;;;
kekhene malot aku suke, malot bage ateku, edhi kane kukateken ndak;;NULL;;;;;;
jujukh, tekun, ikhlas bagas mebhahan, malot pet ncekhok i kalak;;NULL;;;;;;
mbue impienku, membahagieken khangtueku, sekolah ndhatas, lot usahe kane ndqk nusahi kalak;;NULL;;;;;;
kakhene edi bhan se kite nmu babe ni akekhat te;;NULL;;;;;;
kakhena aku yakin bahwasene edi mahan kite bahagie;;NULL;;;;;;
suasane ne mantap khut nmu kite gakhami pengalamen;;NULL;;;;;;
mejile kukap taboh ngatose senang atepe makekse;;NULL;;;;;;
pemandangen mejile kasne taboh untuk sante sante khut penangane taboh;;NULL;;;;;;
pakek paket nine e,Dhe malet paket kune mbungkai internet pe,loading loading nine gat;;NULL;;;;;;
si kukhang metoh e,ngajakhi si metoh si lebih metoh e ngajakhi si kukhang metoh,kune kase lengkap jawaben kerja sama e;;NULL;;;;;;
bhage si ukhok kite pelin semampu akal te;;NULL;;;;;;
Dhe lot panggilen tibhe tibhe,atope ukhusen tibe tibe me pakse kite lebhe Ken Dhe sengkikhe ne penting;;NULL;;;;;;
kae si mbiakhi Dhe tong dunie nde,akhirat me amin mbiakh kite nekhake e;;NULL;;;;;;
cidahken bhelin ate te e,ketekhe cakhe te nayangi iye ngeyakinken jeme nde ndk tabhoh ,muet ate kobho khut piso muet ate jeme khut pekhasat;;NULL;;;;;;
Dhe gembikhe iye,kae si tangisi ne me ma sehat gelakh ne dhi;;NULL;;;;;;
de kau nulis sebuah buku,tentang kae buku e?;;NULL;;;;;;
kune cakhe terbaik kau mbantu kalak lain;;NULL;;;;;;
cekhiteke hal kar pelin si kau nangat ni bagas mimpimu;;NULL;;;;;;
tentang kisah cinteku si ndak ni khestui ame uwan ne;;NULL;;;;;;
hal kae pelin si mahan kau mekhase bersyukur?;;NULL;;;;;;
Dhe tong mekesah Soh sendah nde Alhamdulillah mesukukh kite,ndk nggie nggeluh tabhoh simadhe ne mangan sewakhi sekali tong mampu kite;;NULL;;;;;;
de lot imbang mu selukhuh dunie,kune cakhemu berkomunikasi kane kendin tetap saling berhubungen?;;NULL;;;;;;
ku pelajakhi cekhok inggkhis sebhab cekhok inggkhis nde bahase dunie ,si kekhine ni wajibken mempelajakhi bahase inggkhis kune Kase Nemu menjadhi bahase penengah;;NULL;;;;;;
"suakhe bhaye si ngateken ""cinte ne aku bamu nggi,Ndak kusup sengkikhe ne ndk kidhah Kao nggo,jile pe bulan jilenen Kao""";;NULL;;;;;;
pemandangen,pengantin si malet jasa foto ne,te sebhuah akhi Kalak si ndk Tate ne aku ato PE dhang bhagas me aktivitas iye,tapi mekesah kukap si bhahanen ne e ku foto Ken gat;;NULL;;;;;;
nginget iye si Dhie mecekhok mejile ,walope sudhah ne ndk petemunen;;NULL;;;;;;
nginget iye si metahun tahun aku cintei tapi kawin khut Kalak,si sakit ne tule kudhe ne ni khakhak khang muke khumah nakhi;;NULL;;;;;;
sakhe si pingekh Dhe dhang aku belajakh,khut sakhe Kalak pekhak Dhe dhang aku medhem;;NULL;;;;;;
Dhe ukhok mecekhok ,bhacakh mepikekh ,ukhok muet keputusan ,Edhi hebat gelakh ne;;NULL;;;;;;
kakhene khajin bhelajakh,himat Ken waktune,Dhe sebhuah pe malet pot mbue su mecekhok si ndk penting;;NULL;;;;;;
si Mahan pemikekhen maju khut menghasilken cakhene;;NULL;;;;;;
Dhe sengkikhe ne tekhpakse ato PE untuk bhahanen kae salah ne,tapi Dhe untuk lelajang khut khekhaun pelin amin bhagas waktu panjang gat LDR nine madhe Kane tulu sebhab ndohokh pe jeme nde lebhe ndak tepecayai;;NULL;;;;;;
khencane mejile untuk Mase si khoh,kune Pakat Pakat si pagi kite dhalani;;NULL;;;;;;
cekhok Ken khakhih,tandok Ken si memasalahe,akhihken khut cakhe mejile ,sebhab kekhine let dhalan luakh ne,lot solusi ne;;NULL;;;;;;
pendapet ku hubungen si sehat e hubungen si madhe mbue su nekan pasangan ne ,njadi mejile,seharusne gedhi kin cakhe mekhamah ulang Mahan pikekhen sebhab hoye untuk nikse mekhamah nde tapi untuk memahami satu khut lain;;NULL;;;;;;
ganteng khupe ne e,khium ne,lamoh pencekhok ne,khakhih sakhe ne,Ndak pot nogang,kae pe salah nahan mejile sungkun ne bheyy gedhi me sukhuh Mak e gakhami e;;NULL;;;;;;
Dhe let hubungen ne khut Mase depan,penting kukap;;NULL;;;;;;
wakhi si sen khoh lebhih,wakhi tabhoh ngato se,jeme khamah cikhem;;NULL;;;;;;
bhelajakh,melelo hp,te khekhak ne nahan lajang nampang khut imbang kune Kase ndak nakhen ni khumah jep wakhi n e;;NULL;;;;;;
kekukhangen ndk masalah asal ulang kukhang sen ne pelin,Dhe nggo me kekukhangen gat kukhang tule sen ne kukhang gat kasih sayang pe te khe kite;;NULL;;;;;;
maso bhe hubungi iye segijab,khut imbang bhe,Dhe tuhu kin kite cinte bhane pasti kite gakhami iye Ndak kite sup ndak mege sakhe ne,tapi Dhe malet nae sangket bhagas ate te bekhati malet kin bhane nae tujuen te, gakham gat gancih ne,maso sikse pikekhen khut si madhe madhe;;NULL;;;;;;
khasulullah ,nangat aku mege Ken ketekhe dunie nde Dhie semange ne kami loot;;NULL;;;;;;
khangtue ku tong nggeluh Soh sendah,cikhem tawe ne tong kidah Soh wakhi nde;;NULL;;;;;;
cakhe Mak e ku nginget Ken si salah,sehakhus ne ulang sidhe nogang ,sebhab nogang nde Mahan kami hoye mege Ken cekhok tapi khoh sui ne amin ate kami;;NULL;;;;;;
kenangen sewaktu Dhie aku tong cut,tong sebhuah aku laki Dhebhekhu anak khangtue ku,Dhie kae ningku malet pe ni pe leet Ken khangtue ku,tapi sendah nggo masing masing khangtue ku mekeluakhge,sehingge let pe kasih sayang si mengalekh pengakap ku malet abhas;;NULL;;;;;;
si saling megeken cekhite pagit khut mis,macem khut mecookh ne nggeluh;;NULL;;;;;;
khak kebutuhen ku si madhe penah lale ne PE khangtue ku mekhe se walo pe napih;;NULL;;;;;;
salah nenggo jeme,kugan pe imbang ku kepene Kalak Tah anak ndapah,pegas mate khabhun nde mekale pe kugan jabhuku;;NULL;;;;;;
ganteng e,gagah ne,khium ne pencekhok ne si khakhih,pengato ne si sayu;;NULL;;;;;;
khangtue,Dhe tentang khangtue ulang,maso me;;NULL;;;;;;
sen si ma penah habis sebhab Dhe mbue sen te kasih sayang Kalak akhi pe khoh gat bhante tapi Dhe sayang Kalak bhante tapi malet sen te malet sanggup Kalak nakhen sayang bhante kecuali khangtue tok;;NULL;;;;;;
Dhe dhang bhujang hubungen khut imbang kukap pentingen sebhab Dhe dhang mudhe mekhamah e kekhine njadhi mantan nge Edhi apelagi nggo Kase ndak khestui imbang te Edhi khamah te,maso me tekhusken ,nggo pahe Ndak Mende dhi,tapi Dhe sengkikhe ne nggo kawin pagi lotonen khut pasangen ne,sebhab imbang tepe kekhine pagi kawin njadhi sakhing bhe kekhine;;NULL;;;;;;
Kalak jujukh lah,kae gune ne jage ne pekhasaen te tapi bhual nge iye,ni bhagas pkhinsip nggeluh ku gende,kekhine Nemu ku maafken kecuali bhual ,selingkuh,khut kasakh,Dhe telu dhi nggo mengket gat anak khaje namrut kau maso me bhang;;NULL;;;;;;
mekhamah khut Kalak macik,sebenakhne nesal kite dha apelagi nggo njadhi mantan,macik nenge khupe ne nakiti tule ulah ne malet nenge sen ne,Doble sakit ne gat yeh;;NULL;;;;;;
medhem Ndak pe gat ngato hp kae si peningi sendah;;NULL;;;;;;
takdikh pe pekhcaye sebhab lot nggo ni Khukun iman si paling tekhakhih ,manusie ngendaliken dikhi pe pekhcaye sebhab mbue nggi kekukhok en Dhe Ndak bhuet bangkit,nol mbelin hasilne;;NULL;;;;;;
get lah bekhati imbang te e tulus bhante ,sesoh ate ne mekhimbang khut kite;;NULL;;;;;;
dhang Kalak dhi me setatonen Awe,walope Ndak mesakhe ye kukhase gedhi kin cakhe Kalak dhi ngesoh Ken bekhite tebhe teman ne;;NULL;;;;;;
lajang palingen sebhab dhe hangat wakhi ma tentu pot pe;;NULL;;;;;;
mange medhem pe ketekhe me mimpi ,medhem bhe bhongi nahan pagi bakhu ku cekhiteken bhendin tule;;NULL;;;;;;
ulang mengket me selep ulang gampakh Ken pikhing pul mangan ni kas mangan e,ulang mekhimah ,ulang mecekhok mangan ,ulang lambat sembahyang,ulang Ndak kekhi nakan,ulang ndapah kendie bhahan bakhang ulang kekhas Dhe mecekhok;;NULL;;;;;;
bhelajakh,mangan si me vitamin e,medhem tokh,Ndak mekhimbang khut Kalak padhe bhacakh bahan ne;;NULL;;;;;;
aku nde sebenakhne putkhi duyung ,Dhe kene Lawe aku mesisik gat kidhing ku ,Edhi Kase Dhe bhabhai Amek ku khidi megang nde khekhut keluakhge ma kungin ,sebhab mbiakh aku gan Kalak dhi gile aku;;NULL;;;;;;
lajang ndapah kendie malet me tujunen ,walope meseng bhalik en Khami ne amin bhuet;;NULL;;;;;;
kidhah Kase iye Ndak tetah ku akhahken ,kidhah Kase iye ndak ukhok ku ajakhi ,kidah Kase iye pekhak ku hibukh;;NULL;;;;;;
kae plin mahan get atemu pelajari bahase lain;;NULL;;;;;;
tentang kisah nggeluh ku si sangket kisah meteman ku,kisah cinteku ,kisah ku mebhahan ndapah kendie kisah ku patah semangat si ni bangkit Ken khangtue sehingge sendah aku mbelin ate tebhe sekolah ku;;NULL;;;;;;
bhage bhaju si ku ingin Ken cut nakhi,gelekh gelekh ne pakek adat Ken Sitok kune Kase let leket alas ne;;NULL;;;;;;
ulang pecengis Ken dikhi,ulang kekae pe kali kukhang Ken,mejile Ken ate e;;NULL;;;;;;
tong mekesah tekhatukh Soh sendah pe Alhamdulillah,maso ndauh khase sukukh te mekesah ,mekidhep khut megekhok nde pe sukukh kukap tong;;NULL;;;;;;
cekhagan,Dhe aku nge main pilem Ndak wayang cekhagan ku,Dhe njadhi si tangis tangis bhage pilem azab e ma laku bhangku dhi,nogang Kase Kalak mecekhok ku sentet Ken gat;;NULL;;;;;;
Dhe mege Ken aku mecekhok e gat pul Edhi nasehati ne aku,luakh biase me kidah imbangku e gat mantap ne ni mateku;;NULL;;;;;;
ato bakhang ne,ato ukukhen ne,wakhne ne,nggedhang ne,Dhe nggo pas pesan gat,Edhi pe Dhe let sen;;NULL;;;;;;
ato kae si malet,Dhe si loot e kae si nae pe,Dhe malet gat atukh;;NULL;;;;;;
point ne pelin tingkat Ken,bahase ne pate kami ngatukh se;;NULL;;;;;;
model ne akhi,bahan ne akhi,logo ne akhi kuat ne akhi;;NULL;;;;;;
undangen khak kampus akhi,mepekhun gat laus kekhine;;NULL;;;;;;
sehat badan,Ndak kisat megekhok,Ndak kisat mebhahanen Pe;;NULL;;;;;;
dhang waktu luang ngisi Ende,dhang lot bhahanen ape mungkin tadhingken;;NULL;;;;;;
ma pakek memain Kase kunci e gat nakhen bhende,ma tekhidah;;NULL;;;;;;
malet ,kukhang get ne ate,sebhab mbau kesah bhahanne,mbau ntut pe;;NULL;;;;;;
salah ncikhemi jeme,kugan pe khamah ku kepene abhang ne,kakhene mikhip hampekh kembar,untuk Ndak ku dhakep;;Story/narrative;;;;;;
teknologi Mahan gaye nggeluh manusie mekhobah,sehingge Mahan pencekhok jeme si ntekhem mekhobah,cakhe mebhahan pe mekhobah;;NULL;;;;;;
belajakh sehayak mungkin,sebhab semakin hayak ilmu te semakin tabhoh kite nggeluh mekhatukhen;;NULL;;;;;;
cekhok Kalak si ntekhem,sebhab selain Mahan mesui ate ,Mahan pemikekhen khut aktifitas ndak tedhalani tekhatukh;;Story/narrative;;;;;;
pengalamen ku malet nge mbue Dhe gabung khut komunitas luakh,sebhab bhakhu tong kuliah pe dhape nge hayak pengalamen;;Story/narrative;;;;;;
laus bhe bekhastagi jumpe khut cinte hayalen ,khasene bhage menipi ,singkat amin cekhite ne tapi lebhih khase tedoh Ken jemene;;Story/narrative;;;;;;
mange Soh bhedi ku bhace kekhi Dhe nggo ku bhace pagi ku cekhiteken;;History;;;;;;
ngato pemandangen si malet kadhepe ngelahangi se,mbogoh khut hangat ne langsung malet pakek pekhantakhen;;Story/narrative;;;;;;
usahe lain,sebhab Dhe malet usahe lain ,malet medhalan sen Ange gat,tapi Dhe lot usahe lain Ndak pe nggie mebhahan Ange sen ngalekh tong;;NULL;;;;;;
apakah kau denoh khut Amek mu?;;NULL;;;;;;
menukhut mu  kune kalak di ngateken SE gedi?;;NULL;;;;;;
kae plin hal si bahan kau mekhase bekhani?;;NULL;;;;;;
kae plin hal si bahan kau mekhase semangat?;;NULL;;;;;;
ka plin si bahan kau mekhase gat gedi hebat?;;NULL;;;;;;
kae pllin hal si paling kau nangat kau bahani pas pekhe;;NULL;;;;;;
kae plin kebiasaen mu ketike wakhi sabtu;;NULL;;;;;;
menukhut mu kae gat sampah hakhus ni kelelola;;NULL;;;;;;
kae plin si bahan kau gat begedi hangaten nigidah se;;NULL;;;;;;
kune menukhut mu tentang tanggung jawab laki;;NULL;;;;;;
kune menukhut pendapet mu tentang hak laki;;NULL;;;;;;
kae plin si kau laku Ken wakhi nde ni sekolah/kas kau mebahan;;NULL;;;;;;
kae plin hal si akan  kau laku Ken wakhi nde;;NULL;;;;;;
kune cakhe mebelin Ken anak - anak khumah;;NULL;;;;;;
kae cakhe mu memutuskan nangat nukokh khumah;;NULL;;;;;;
kune kalak medaye narkoba mempengakhuhi sebuah negara;;NULL;;;;;;
kue cakhe ne melestarikan cekhok alas daerah nde;;NULL;;;;;;
kune cakhene untuk melestariken adat kite nde;;NULL;;;;;;
kune cakhe ne Indonesia nde menjadi negara maju;;NULL;;;;;;
kae gat nangat su/malot nangat su mengkhanak;;NULL;;;;;;
Kune khase ne Bagas sakit/senat/opekhasi?;;NULL;;;;;;
kue cakhe ne dapet kas mangan kas sie mejile ne ni kas mi;;NULL;;;;;;
menukhut mu kae si tekhjadi khut pkhoses pindah ne ibukota negakhe nde;;NULL;;;;;;
kune kau siap Ken dikhi mu pas pe pepagi;;NULL;;;;;;
kune menukhut mu pendapet awok mu tentang kau;;NULL;;;;;;
kae gat gak get/ndak get sayukh;;NULL;;;;;;
kune cakhe mu mahan kalak tadi mecekhok;;NULL;;;;;;
cekhiteken pengalamen mu makek aplikasinde;;NULL;;;;;;
kune lingkungen kite kane lebih ramah lingkungen;;NULL;;;;;;
kae kane gat penting metohi pristiwa wakhi nde;;NULL;;;;;;
kune pendapet mu tentang LGBT?;;NULL;;;;;;
kune kau gambakhken dikhimu;;NULL;;;;;;
aku menekhime keaden ku kae pe Edi si ku alami saat Ende;;NULL;;;;;;
kune Nemu gat menjadi pengakhuh sibelin ne pas saat kau nukokh bakhang dan kune?;;NULL;;;;;;
kune kau meggambakh Ken pengalamen mu mengguneken aplikasi Ende;;NULL;;;;;;
kune kau dapet mendapetken kae si kau gakhami;;NULL;;;;;;
kune jadi ne mulai terjadi ne dange khubat;;NULL;;;;;;
kune care bantu sekalak jeme Kane dak iye males jase te;;NULL;;;;;;
kune care ne kau bahani bahane malet lot bantuen Kalak lain;;NULL;;;;;;
kune imbang mebahan mu bace tingkah laku mu;;NULL;;;;;;
pekojeen si aman ndak mbue penangko, ndak mbue kalak si sibuk ngukhusi ukhusen klak lain;;NULL;;;;;;
pakhiwisata nde lot Kane pekhan ne bhagas Indonesia nde,selain mbabe kite semakin ngenal budaye ,pakhiwisata nde ngenal Ken kite tebhe kas si lot cekhite ne;;Culture/Tourism;;;;;;
lot takhi bhelo mesusun si ni takhiken oleh bujang mudhe ato PE anak bhujang asli alas,khut let budaye jinto kudhe si Mahan alas nde tekhidah tuah ne;;Culture/Tourism;;;;;;
ni pejuangken kekhine,pahlawan khut kekhabat kale mesatu untuk melawan musuh demi nahan Ken Tanoh alas metuah nde;;History;;;;;;
sebhab Aceh nde njadi pekhbhatasen timukh khut bakhat semule kale nakhi,bhekas singgah khang chine untuk mbabhe Ken jualen ne bhegedhi Kane khang luakh lain ne sehingge Aceh nde njadhi daekhah istimewa bakhu gat ni bekhi ken tonjolen sebhage pkhovinsi;;History;;;;;;
kekhine mesejakhah ,kekhine mejile cekhite ndubhe;;History;;;;;;
pekhistiwe si Mahan masyakhakat mekhase senang khut gembikhe;;History;;;;;;
Aceh ni njadhi Ken ato ni juluki daekhah istimewa kakhene petame ne mekembang agame ni daekhah aceh;;History;;;;;;
sejakhah ni jawe malet ndauh bede khut kisah cekhite ni daekhah padhe umumne;;History;;;;;;
ulang nadhingken imbang ni saat pekhang ,mejuang khut khut;;History;;;;;;
kekhine penting,tapi si penande penting kukhase Edhi me bendekhe;;History;;;;;;
dhang medhem aku ulang kaluti,Dhe kaluti ku cagitken kin gat;;NULL;;;;;;
pelajakhi amin kae pe,Dhe nggo ukhok me liahi i Ale Kase jagokh;;NULL;;;;;;
dhang mangan kite tawakhi ye mangan bhuah pikhing,tapi ulang ukat nakan ne nahan tekhsinggung ye;;NULL;;;;;;
malet kuliah wakhinde gegakhe abhang koje,jadi wakhi nde full masuh pikhing amin Soh bhekelen;;NULL;;;;;;
Dhe selekhe khase ne gat tukokh,Dhe malet mantap wakhne ne akhi pe maso me;;NULL;;;;;;
mbue sen Kase bahagie Dhe malet sen ngato jeme pe bodut gat;;NULL;;;;;;
Dhe UAS ate Kase gat tangis bhahanne,mesengget Kase ate tangis kane;;NULL;;;;;;
hayak sen,masih khangtue,mbue imbang ,gat bahagie kite;;NULL;;;;;;
pantai ne si mejile,khupe Dhebhekhu ne si mesemban,pencekhok si khamah te sebhuah pe budaye khut adat tong leket;;NULL;;;;;;
khase ingin metoh kite e ndatas Kase gat penasakhen kite ,nangat kite metoh SE lebih ndauh tule;;NULL;;;;;;
tekuni ,pahei,ge Ken pul Edi simak kae si Mende pelajakhi Dhe malet ulang;;NULL;;;;;;
pekhubhaten,selisih faham ,mecekhok ulang kekhas ni muke anak;;NULL;;;;;;
Dhe setuju aku Kase ku kateken uwe Dhe madhe Kase endak ningku;;NULL;;;;;;
Dhe malet pas Kase Madhe kite uwe Ken Dhe pas Kase kite uwe ken;;NULL;;;;;;
kondisi ne ni hande tong aman,tapi jeme si mengket mebhahan nde Lang madhe kekhine ,let si ma sup ne cindekh let si ma sup ne ndekah tandok ,macam;;NULL;;;;;;
aku malet ndekah nganggap Kalak mesalah walo PE kalak mbelin kesalahen ne bangku;;NULL;;;;;;
nangat aku njadhi putkhi duyung si Langi ni laut lawi pe kembang mejile;;NULL;;;;;;
segale bhahanen ku ku selesei Ken mejile bhe bakhu ku tadhiken ,bakhu ku bhahani bhahanen lain;;NULL;;;;;;
tetawe khut imbang,laus lajang ndauh ,jajan kae si pot;;NULL;;;;;;
lebhe get atene si ngekhi aungen ne e ,bhage khimo ato singe,kakhene tekhidah bhage pawang ne kite,bede Dhe nggeluhi menci,habis amin gat kekhine bhaju ni lemakhi;;NULL;;;;;;
mange let pengalamen ku sebhab tong mbakhu makek aplikasi Ende,Tah Tuhu Nemu takhik sen ne me kite ato pagi;;NULL;;;;;;
