Alas;Indo;Domain
gobhak, ende alat angkut jeme khut bakhang die ni kutecane nde sebelum lot motokh ni ande;;Culture/Tourism
ni budaye kami gelakhne melagam, ncekhiteken cekhite masalah kehidupen, atope sesukuten cekhite mange medhem;;Culture/Tourism
sistem meagame ni kutecane nde masyakhakatne taat, budaye Alas malot metentangen khut adat-istiadat kami;;Culture/Tourism
te pet kamu menjadi pemimpin, hal kae-kae plin si kamu tetapken be tekhuhen mu;;Story/narrative
cekhite ken kune peran pendidiken khut pembelajakhen ni bagas budaya mu, termasuk tradisi atau praktik unik;;Culture/Tourism
te misal ne kamu ni tugas ken untuk mendesain acakhen ni bagas tv kune nate mu jadi ne;;Story/narrative
kae sebab ne kalak e gat nemu tawe  padahal malet lucu pe si aku ucap ken;;Story/narrative
kune cakhe standar kecantikan berubah ni bagas geluh mu;;Story/narrative
kae kae plin cekhite si terbaik ni bagas sekolah mu atau pe ni bagas kas mu mebahan;;Story/narrative
kune cakhe ne atau kune yang terbaik menurut mu untuk mencapai sebuah tujuen;;Instructions
kune denoh ne kamu khut keluakhge mu, kae kae plin waktu kamu sedang cenek lebih baik buen kalak;;Story/narrative
menurut mu sendikhi ape kah kamu denoh khut amek ku?;;Story/narrative
ape kah kamu denoh khut pae mu, kune hubungen mu antakhe kamu khut pae mu;;Story/narrative
te misal ne kamu menjalin hubungen khut kalak, hal kae kae plin si hakhus pasangen mu metoh tentang dikhi mu;;Story/narrative
cekhite ken pengalaman atau pe peristiwa si paling mele kamu khase ken ni bagas geluh mu;;Story/narrative
coba sebut ken hal hal kae plin si get ate mu dakhi pasangen mu sendikhi;;Story/narrative
menukhut mu sendikhi kae kae plin si malet nemu ni jadi ken bahan untuk lelo atau pe lelucon;;Story/narrative
te misal ne let salah satu keluarga mu hakhus nading ken,  nadingken ise si paling sulit si paling sulit untuk kamu tekhime dan cube sebut ken kae alasen mu;;Story/narrative
menurut mu dape lebih baik let sen malet pakek habis habis atau kasih sayang si malet terhingga kune cakhe ne kamu milih se;;Story/narrative
menurut mu sendikhi dape lebih penting hubungen mu khut imbang atau pasangen mu, cube sebut ken alasen ne;;Story/narrative
te misal ne kamu lebih memilih kalak jujukh atau kalak menghargai mu dan pet menjage pekhasaen mu walau pe hakhus pebual;;Story/narrative
hal hal kae plin si enggo kamu bahanni tapi sejujukh ne kamu malet nangat untuk mahanni bahanen tersebut;;Story/narrative
cube sebut ken nasehat nasehat kae plin si pernah kene khe ken bamu;;Story/narrative
cube sebut ken kae kae plin si kamu bahanni ni waktu kamu sedang mengasa ate be kalak;;Story/narrative
te misal ne let waktu untuk momen ni bagas dunie nde dan kalak pe pokus megeken cekhok mu, hal hal kae plin si nangat kamu ucapken;;Story/narrative
kamu percaye  takdikh manusie atau yang mengendalikan diri sendikhi, kae sebab ne gat nemu gedi;;Story/narrative
cube cekhite ken kae kae plin kelebihen ni bagas dikhi mu sendikhi;;Story/narrative
cube cekhite ken kae kae plin kekukhangen mu ni bagas dikhi mu sendikhi;;Story/narrative
ape kah get ate mu waktu imbang mu mekhe makanen atau pe lelo ne bamu  kae sebab ne gat get ate mu;;Story/narrative
menukhut mu, kune cakhe ne hewan gat nemu mecekhok, kae sebab ne gat nemu kamu mepikekh begedi;;Story/narrative
te misal ne kamu ni luakh khumah sepanjang wakhi, kae kae plin kamu bahanni ni luakh khumah ge;;Story/narrative
kikhe kikhe, kune plin cakhe ne kamu gat nemu mimpi bongi nde;;Story/narrative
menukhut mu sendikhi kae kae plin si paling terbaik ni dunie nde tentang alam;;Culture/Tourism
kae kae plin kenangen ni bagas geluh mu si paling mahan kamu bahagie;;Story/narrative
kae kae plin menukhut nu mahan kalak gat nemu mekhase kuat atau pe mekhase berenergi;;Story/narrative
cube sebut ken kae kae plin hal si mahan kamu mekhase hebat ni dunie nde;;Story/narrative
te seadai ne let libukh sekolah kae kae plin si kamu bahanni atau pe aktivitas mu waktu libukh;;Culture/Tourism
te seadai ne let imbang mu sukhuh ne simpan khasie dan kamu malet tenang untuk nyimpan khasie ge, kae si kamu bahanni untuk menanggapi se;;Story/narrative
hal kae plin si biase ne kamu lakuken ni akhi pekan atau pe wakhi minggu;;Culture/Tourism
cube sebut ken menukhut mu sendiri kae plin kesan mu terhadap aplikasi ikata nde;;Story/narrative
kae kae plin hal si mahan kamu mekhase panek ni bagas aktivitas atau pe khut imbang;;Story/narrative
kune pendapat mu atau pe kune menukhut mu ni bagas pernikahan sendah nde;;Culture/Tourism
cube jelas ken pendapat mu sendikhi kune tanggung jawab seorang suami ni bagas khumah tangge;;Story/narrative
cube kamu jelas ken menukhut mu sendikhi kune hak suami ni bagas khumah tangge;;Story/narrative
kae kae plin aktivitas atau kegiaten mu ni wakhi nde;;Story/narrative
cube jelas ken kae gat nemu kamu memutusken untuk nokokh khumah;;Instructions
menurut mu sendikhi kune cakhe mu untuk menyelesaiken tugas ni bagas sekolah;;Story/narrative
menurut mu sendikhi kae kae plin hal si paling penting ni bagas geluh ni dunie nde;;Story/narrative
menurut pendapat mu sendiri kae gat nemu kalak mekhumah tangge gat nemu cekhe atau pe pisah;;Story/narrative
cube jelas ken cakhe Indonesia untuk menjadi negakhe yang maju;;Story/narrative
cube jelas ken kae alasen mu pet atau pe tidak untuk memiliki anak ni bagas khumah tangge;;Story/narrative
menukhut mu sendikhi kune teknologi masa depan pagi;;Story/narrative
kae alasen mu gat malet get ate mu minum kopi atau pe kae alasen mu gat nemu get ate mu minum kopi;;Story/narrative
cube jelas ken kae gat nemu ni kate ken lebih mejile buet ni pagi wakhi;;Story/narrative
menurut pendapet mu sendikhi kune cakhe ne nemu geluh ni dunie nde dengan lebih baik;;Instructions
cube jelas ken kune cakhe mu garammi kas mangan ni bagas bulan puase;;Instructions
cube cekhite ken bahannen atau pe aktivitas mu ni bagas wakhi nde;;Story/narrative
kune gat nemu sesuatu menjadi pengaruh terbelin ni saat kamu menentuken pilihen mu dan kae alasen ne;;Story/narrative
cube jelas ken dape akhi kamu gat nemu metoh aplikasi ikata nde;;Instructions
cube jelas ken kune cakhe mu menggambakh ken aplikasi si kamu guneken nde;;Story/narrative
kune jelas ken kune cakhe mu mengganti layakh hendpone mu te enggo khusak;;Instructions
cube jelas ken kune gat nemu kamu toh aplikasi ikata nde;;Instructions
jelas ken kune sesuatu nemu menghentiken mu mencapai si nangat kamu capai;;Story/narrative
cube jelas ken pendapet mu sendikhi kune cakhe mu membedeken kualitas bakhang mejile khut ndak mejile;;Instructions
cube khe ken saran bami hal kae si dapet kami tinggak ken ni bagas aplikasi ikata nde;;Story/narrative
sebut ken proses kae si enggo kamu lalui untuk menentuken kebutuhen mu;;Story/narrative
kae si kamu tukokh si paling penting menukhut mu dan cube jelas ken kae sebab ne gat penting;;Story/narrative
sebut ken langkah langkah ni saat kamu belanje online;;Instructions
jelas ken kune kamu mencapai tujuen mu si nangat kamu capai;;Instructions
cube jelas ken kune cakhe kamu garammi inspirasi ni suatu lingkungen;;Story/narrative
tantangen kae si kamu hadapi saat sendah nde;;Story/narrative
cube jelasken kae gat nemu kamu memilih aplikasi ikata nde ni bandingken melakuken kegiaten yang lain;;Story/narrative
sebut ken solusi mu mengenai masalah lingkungen mu saat nde;;Story/narrative
cube jelas ken kune lingkungen mu nemu menjadi lebih baik dan lebih ramaha lingkungen;;Instructions
cube jelasken kune pemanasan global mempengaruhi bumi;;History
cube jelas ken kae sebab ne mengetahui peristiwa untuk saat nde penting;;Story/narrative
kune pendapat mu tentang sesuatu si malet kamu sangke akan terjadi;;Story/narrative
cube jelas ken kune cakhe mu melakuken hal sebelum ne si mange kamu lakuken atau pe si enggo pernah kamu lakuken;;Instructions
kune bos atau rekan mebahan mu menggambar ken tentang kamu;;Story/narrative
jelas ken lingkungen kerja ideal mu si kamu inginken;;Story/narrative
soal Edi malet permasalahan sebab karena ngo cukup umur Nemu milih;;Story/narrative
cube jelas ken kune kamu melakukan penelitien atau menanganni konflik atau situasi yang membuat mu stres;;Story/narrative
cekhite ken saat kamu let masalah dan kune kamu menangani masalah tersebut;;Story/narrative
karena jangan kite dengar Edi make lucu kite rase;;Story/narrative
cube jelas ken kae alasen mu gat nemu kamu tertarik dengan sesuatu;;Story/narrative
menurut q date ni internet ni proses khut mesin;;Story/narrative
cube jelas ken kune cakhe mu meningkat ken cakhe mebahan mu berkelompok;;Story/narrative
kae plin nasehat si kamu khe ken untuk dikhi mu sendikhi sewaktu kamu tong umukh 15 tahun;;Story/narrative
Edi tentu jelas karene kite mebahan kerja kelompok tentu jelas lebih baik;;Story/narrative
kenekae biasene kau nemu gembikhi, kadang gegakhe iye dapet sen pe pot gembikhi iye edi;;Story/narrative
menukhut mu, kune cakhe ne kami nemu meningkatken fitur bakhu aplikasi kami;;Story/narrative
kune cakhemu tangani kalak kritis, cakhe ku kae neleme mbah me Khumah sakit tapekhken iye kane mate;;Story/narrative
dengan care aku menangi keritik Edi ku tentukan dulu topiknya;;Story/narrative
cube jelas ken kune kamu menggambakhken pengalamen mu menggunaken ikata nde;;Story/narrative
alasan ku tadingken bahane q si ngo ndekah Edi me kurang taboh bekasne;;Story/narrative
cube jelas ken kune pendapat mu tentang kualitas demokrasi Indonesia saat nde;;History
kae plin alasen mu ketike nadingken bahanen mu sebelumne?;;Story/narrative
hal ni aku membuat aku pang Edi tentu bages ate sendiri;;Story/narrative
kae kae plin si kamu ketahui mengenai pandangen politik liberal;;History
cube jelas ken kae gat nemu terorisme payah untuk ni berantas;;Story/narrative
menukhut q rasa sayang khut jeme Edi lewat sifatne khut aku;;Story/narrative
kae plin hal si mahan kau makhese pang?;;Story/narrative
hal ni Nemu ku bhe khut jeme Edi ketika iye menepati janji;;Story/narrative
karena lot senang ni bages atene Edi iy bahagia khut gembira;;Story/narrative
hal kae plin si kau nagat mekheken mekalak lain?;;Story/narrative
suara si ku cinte Edi me suara kucing khut kelinci;;Story/narrative
suakhe-suakhe kae plin si kau nagati?;;Story/narrative
suara si Ndak aku pot Edi me suara biang khut manuk;;Story/narrative
jike kau mahani buah gue ni deleng, cekhiteken model ketekhe gue,e?;;Story/narrative
nde kau nemu mecekhok khut hewan, hal kae plin si akan kau tanyaken?;;Story/narrative
menukhutmu, kae plin hal baik dari dunie, sembayang lime waktu khajin mekhe me kalak malet mampu;;Story/narrative
menukhutkau, kae plin hal bukhuk dari dunie?;;Story/narrative
jike kau jaddi fotografer, hal kae plin si kau Aken memotret, kae neleme ni kas kute ku nde ku Poto,i kakhene pemandangen ne mantap su;;Story/narrative
kae plin ingeten si mahan kau senang, khayak sen khayak imbang ku;;Story/narrative
kae plin ingeten si mahan kau sedih, malet me sen, malet toh kae pe mbahanen sen amin kuncine;;Story/narrative
hal kae plin si nganggukau?;;Story/narrative
kae plin si mahan kau senang mepelajakhi bahase lain, cekhok ne,e malet pas tilukh te belajakh bahase kalak, tawe kite ngat;;Culture/Tourism
kae plin si Aken mahan kau jaddi kalak kuat, khayak sen ku khayak mpus ku belajakh petincu pakek ilmu ngo Edi plin;;Story/narrative
menukhutmu, imbang sekelas kau si mbacakh edi kakhene kae, iye bacakh kakhene khayak petayaen khanh tue ne pe ngajakhi iye mantap;;Story/narrative
menukhutmu kae kejujukhen edi penting, kakhene kejujukhen,e kalak pecaye cube me kalak malet jujukh pasti bahaye;;Story/narrative
kae plin keputusen si kau bahan khut kalak lain, kae naleme mahani tanggapen mecekhok khut kumpul,e;;Story/narrative
kune keadaen sendah te secakhe ginalsial khut pendidikenmu lebih dari sendah, khoh khayak,en pengalamen ku kakhne khoh sendah kutoh cakhe dapet sen pe;;Story/narrative
kune padangenmu mengenai saling mebagi password sosial medie, payah di bagi se kakhene khayak palsu media sendah;;Story/narrative
kune te nikhakhusken untuk menjalin hubungen dauh khut Khamahmu kae naleme me kau pe me lot pengalamen mu aku da sendah LDR biase plin amin saling percaye plin;;Story/narrative
kae plin khencane tentang hubungen khut pasangenmu?;;Story/narrative
kune cakhe kau menyeleseken masalah, kune neleme minum lawe bogoh kane dak emosi trus pikekhen dalan keluakh ne;;Instructions
kae plin hal si paling kau syukukhi, kakhene kheken Allah aku sehat soh sendah Alhamdulillah syukukh aku gedi;;Story/narrative
kae pendapet mu khut hubungen si sehat, ulang melaun mangan ulang telat edi amin kunci ne ulang melelo khangat;;Story/narrative
kae plin si paling kau nagat khut pasangen mu, nagat aku keliling khut iye, dunie nde tekhase pung kami due kalak;;Story/narrative
kae plin hak si kau anggap penting, mahani bahanen ulang ukhus kalak laim edi amin di;;Story/narrative
sempurne untuk aku kumpul khut saudakhe ku khut mek ku wak ku;;Story/narrative
kae plin si kau lakuken untuk mengisi waktu senggang;;Story/narrative
te tenyate pasangenmu lot kekukhangen ne dauh si kau inginken tekhe cakhe kau mahan se;;Story/narrative
kae si kau lakuken te kau alami pas malet kae pe bahanen pas hubungen;;Story/narrative
te kau nemu mengundang kalak pe ni dunie nde mekhe mangan bonggi khut kau, ise si natemu kau ajak, kune;;Story/narrative
hal kae plin si paling mahankau bersyukur saat ini, tong sehat ni kheken Allah;;Story/narrative
te kau nemu mengubah buah hal tentang cakhemu dibesarkan keluarge, kae plin hal si akan kau ubah;;Story/narrative
kenangen kae plin si paling bagimu sendah nde gedi kin kadang gedi nu;;Story/narrative
kenangen kae plin si paling bukhuk si penah kau alami kae neleme malet me sen pening takal bahan ne yah;;Story/narrative
sahabat,e pas kite mesui ate iye Nemu khibukh kite, pas kite malet me sen iye lot bantu se edi sahabat edi imbang gelakh ne;;Story/narrative
kune ngat cinte khut kasih sayang ndos khut hidup, kakhene kasih sayang khut cinte,e makna ne bage se mbali edi sinak;;Story/narrative
kae plin hal si akan kau bahan jika kau mbahan atukhen ni Khumah, masukhi piring mahani pekejaen ni Khumah;;Story/narrative
menukhutmu hal kae plin si mbahan kalak bacakh, sungguh iye belajakh malet nisan iye;;Story/narrative
cekhiteken sesuatu tentang kau si menukhutmu mungkin malet kedue kalak tuemu kautohi;;Story/narrative
kae plin hal yang kau nagat lakuken khut imbang-imbang mu, lajakh khut iye khidi khut iye dak egois;;Story/narrative
te kau nibagas ni lawe matang kae plin si yang akan kau lakuken, jemukh badan khidi trus jongker;;Culture/Tourism
kae plin hal si bahankau mekhase nicintei, kae neleme baik iye bangku kae ku pido kheken ne edi nicintei aku di;;Story/narrative
kune kau menunjukken mekalak metue bahwe kau peduli mbane tanyak,i iye kene kae iye edi pe peduli;;Instructions
te kau menulis sebuah buku, tentang kae buku di di nu toh ntah kae die pagi di;;Story/narrative
te kau pemikikhen mu baju mu model kae bentukne tekhe ale me bentuk kae pe sah malet ribet da;;Story/narrative
menukhutkau ketekhe bahan dikhi agar nagat membantu kalak lain?;;Story/narrative
kae plin hal si manankau mekahse bersyukur nemu ngo sehat ni kheken Allah edi pe ngo Alhamdulillah bos tong geluh due ne Alhamdulillah;;Story/narrative
jike kau ni bagas dalam sebuah gilem, ketekhe kae karakter mu di tekhe lame me mu toh ide nde;;Story/narrative
kae plin hal yang mahan imbang mu luakh biase yuh dak tetahan yah aseak yah me gedi nge;;Story/narrative
menukhutmu kae sampah harus dikelola kakhene sampah pe mu jadi sebuah kerajinen gedi da yeh;;Story/narrative
kune cakhe mengelola sampah si baik,kune naleme ato model sampah ne atau pe ketekhe gedi Ju;;Story/narrative
kune kau berkontribusi kelak tugas/ mbahanen Tekhe ale me toh malet kutoh pe nde lupa aku pe;;Instructions
kae efek petame pekhang bogoh sip sip gedi prasaan ku da tapi malet kutoh cube me ajakhi be aku;;Story/narrative
kune kalak pajak narkoba me gakhui kalak luakh aduh malet kutoh aku puase nde melohe;;Story/narrative
kune cakhen melestarikan bahae daerah mahan model model gende pasti pot kalak di pecaye lah;;Culture/Tourism
kune cakhe untuk melestarikan budaya bahani iye ntah kune;;Culture/Tourism
hewan kae si paling kau nagati kae ngat gedi itik kakhene itik suakhe ne mantap malet lawan;;Story/narrative
menukhut mu kae si akan tejadi khut proses pindah ne amek kute nagakhe te nde;;Culture/Tourism
kae kao laus sekolah atau kuliah atau mebahan setiap wakhi;;Story/narrative
kae kao siapken dikhimu saat pagi wakhi kae me si ngat Sitok su nine;;Instructions
kae Nemu Kao kebenenen kunci Honda kangen malet inget edi amin di te aku;;Instructions
menukhutmu kune pendapet wakmu tentang kao Edi prasaan ku ganteng aku mejile;;Story/narrative
kae ngat kau nb Agat malet bangat telukh kadang alergi bahan kadang pe gedi nu;;Story/narrative
menukhut mu kae plin hal si polu kau mejile,i di Indonesia kite nde kae naleme ulang mengket kau pe akhus pakek sen;;Story/narrative
te kau menjani pemimpin kae plin gak si akan kau tekhapken tekhukhen mu aku sukhuh te polu;;Story/narrative
menukhutmu hal kae plin yang dapet mempersatukan Indonesia kite nde;;History
menukhutmu kae bahase Indonesia nemu menjadi salah buah ne bahase internasional kakhene khapet ni kantokh lepatetmen edi ni utus ken pemerintah;;Culture/Tourism
kae biasene kau nemu nagat menggas me kalak die kan gedi uwe te gediken;;Story/narrative
kae plin hal si dapet mebahan mengas ulang pancing aku ulang ngago te ngago lemes pe;;Story/narrative
ise kalak si paling kau favorit ken ni dunie kae ngat kalak edi, ronaldo pemain bola kakhene iye manis jago main malet nakal main;;Story/narrative
jelasken kae ngat khasene menjadi juakhe mencapai sesuatu malet paham aku ngw;;Story/narrative
kae kalak nagat iye suatu nakan ne kakhene Edi sedap kadang Moh tule Edi di;;Instructions
jelasken sejakhah tentang hidup te nde geluh kadang kadang happy kadang kadang;;Story/narrative
cekhiteken hal kae plin si telah bentuk geluh kae naleme malet kutoh ntah kae;;Story/narrative
kae plin si dapet galihken pokus mu pas kau sedang kae pe kite bahan toh nae nde capet mate ku;;Story/narrative
kae cakhe kau newujudken impian mu saat kau sedang ingin jaye aku malet;;Instructions
menukhutmu mu kae plin si kau butuhkan persiapen sebelum pensiun tukokh jume Tanoh untuk anak pagi;;Story/narrative
cekhiteken tentang suatu si semakin nitekhime secakhe sosial oleh kalak lain tetapi malet untuk kau;;Story/narrative
cekhiteken hal kae plin si kau lakuken si mbahan kau nyesal;;Story/narrative
kae cekhite atau kisah favorit si ingin kau bagiken khut kalak lain;;Story/narrative
kae cekhite atau kisah si biase aku bagiken mekalak lain ketike berkumpul;;Story/narrative
kae cekhite si ingin aku tulis atau cekhiteken mekalak tetapi mangge pernah aku bagiken mbane die;;Story/narrative
kae pengalamen atau kisah si paling menginspirasi kau pas;;Story/narrative
kae pengalamen terbesar si penah aku hadapi khut kae nemu aku berhasil ngatasin se;;Story/narrative
cekhiteken gambakhen katakter atau cekhiteken fiksi si aku penah bahan atau tonton;;Story/narrative
cekhiteken momen si berkesan atau memakna si penah kau miliki ni alami bebas;;Culture/Tourism
cekhiteken pengalamen paling menyenangken si penah kenin alami bagas geluh nin;;Story/narrative
cekhiteken pengalamen si bekesan atau lot makne si kenin miliki saat berpatisipasi bagas suatu acakhe petemuen komunitas;;Story/narrative
cekhiteken buah lama atau kejadien lucu si penah tejadi bagas geluh nin;;Story/narrative
cekhiteken tentang hal si memiliki dampak signifikan bagas geluh mu;;Story/narrative
cekhiteken tentang buah momen si sangat mele si penah nin alami;;Story/narrative
cekhiteken tentang kas si memiliki dampak signifikan bagas geluh nin;;Story/narrative
tolong cekhiteken kisah rakyat setempat si nin ketaui atau penah mengge;;Culture/Tourism
kae peristiwa sejakhah si paling menarik bagi nin atau mengapa;;History
kae plin hal si menukhut nin menjadi penanda penting bagas sejarah manusia dan mengapa;;History
kae plin hal si menukhut kenin menjadi pekhulahen mbelin sejakhah;;History
kae plin si menukhut nin kau plin ano lah ngk ano hakah m bahansha haganava habis haba;;History
kae plin si dapet kite pelajakhen si sejakhah si dapet bantu kite mebahani masalah atau tantangen saat ini;;History
bagaimana sejakhah memengaruhi kehidupen kite saat ende ny lah;;History
bagaimana sejakhah jadi alat untuk membentuk identitas bangsa atau masyarakat tertentu;;History
cekhiteken si tejadi ketike kenin dak pot be bage die si ku tekhi me kau plin;;History
cekhiteken bagaimana Indonesia memekholeh kemerdekaan Indonesia keni;;History
cekhiteken bagaimana Islam memasuki daerah kenin nde ny gab;;History
cekhiteken cekhiteken bagaimana dampak imigrasi dan migrasi pada sejakhah;;History
cekhiteken pengalamen sampai sistematis politik pada sejakhah daerah atau negara kenin;;History
cekhiteken bagaimana dampak kepercayaan dan praktek agama pada jas gas;;History
cekhiteken bagaimana dampak media sosial dan teknologi komunikasi pada sejakhah daerah kenib;;History
cekhiteken bagaimana dampak Petukangan budaya dan globalisasi pada sejakhah pada;;History
cekhiteken bagaimana kedatangan motokh berdampak pada perkembangan sejakhah daerah kenin;;History
cekhiteken tentang khut iye bagus nib nde ha dapet be nu pas kan daerah bae di dunia;;History
cekhiteken bagaimana pekhang pendidikan dan pelatihan dalam bentuk sejakhah daerah atau negakge;;History
cekhiteken bagaimana peran seni sastra dan bentuk ekspresi lainne daerah atau negakge;;History
cekhiteken bagaimana tsunami 2004 memegakhui sejakhah ne plin kan dek pas ken;;History
cekhiteken bagaimana atau serangkaien peristiwa penting si tejadi bagas Indonesia;;History
cekhiteken gambakhen tentang seperti apa wilayah kenin seperti kae wilayah kae anda wilayah kenin kae di;;History
kae nimu gedi cocok kan seperti negeri si aku pot kebun raya Bogor km yang tidak;;History
cekhiteken peran belande bagas bentuk sejakhah wilayah kenin seperti kae;;History
cekhiteken be kau bangku plin lah NU cibtegd yang tidak bisa lihat jurnal orang yang;;History
cekhiteken peran pekhang khut konflik bagas bentuk sejakhah daerah atau negakhe kenin;;History
cekhiteken peran si tejadi ni jawe bagas bentuk sejakhah wilayah kenin;;History
cekhiteken peristiwa atau pe serangkaen kejadian penting dari sejarah kenin;;History
cekhiteken peristiwa sejakhah aku malet aku toh bising tentang Edi waktunya die bu;;History
cekhiteken peristiwa sejakhah si dapet kite pelajakhen si sejakhah daerah atau;;History
cekhiteken kae plin aceh menjadi buah provinsinya kite plin lah ngo toh;;History
keindahen alamne, malot bhali khut kas lain;;Culture/Tourism
makanen khas Alas ikan pacik kule, ikan atope manuk labakh,;;Culture/Tourism
kasne alami, mbue bage sukune, mbue penangan khas Alas ne;;Culture/Tourism
gune megakhe asli lawe pangguh akhi, amak kuang, sahung khembie;;Culture/Tourism
daun kami ni kutecane nde mbue bhulung-bhulung kayu akhi,;;Culture/Tourism
pedhalanen mekhanto bhe kute kalak nggakhami khajeki;;Culture/Tourism
ni hande kelok mementingken anak khumah, telebhih ni hande pakek makhge;;Culture/Tourism
takhi bhelo mesusun, dhe die mbue, misalne pelebhat, genggong,;;Culture/Tourism
si get ateku budaye Alas ne, budaye mepahukh, tapi sendah nggo bhene;;Culture/Tourism
lot pelajakhen ni sekolah gelakh ne mueten lokal, ni pelajakhen ende me diajakhi membudayeken tradisi Alas khut diajakhi sopan santun, metutukh,;;Culture/Tourism
bedene budaye Alas niajakhi metutukh, sopan santun, budaye gotong khoyong, te budaye lain jelas lot bedene;;Culture/Tourism
kebhiasaen suku Alas setiap pekhingeten wakhi khaye haji pasti nasa'i khikhis, begedhi kane wakhi maulid nabi;;Culture/Tourism
bhahani si paling penting khut si pqling mendesak;;Instructions
mungkin lot hal lucu idhahne ne, eshi kane iye tawe;;Story/narrative
sesheken khut kae sinangat kite mbhakhu tukokh;;Instructions
usaheken lupeken, malot mu nakh inget-inget hal sedih;;Instructions
mungkin iye lemah tendine, atope lot penah idahne hal-hal si mu mahan mbiakh;;Story/narrative
mungkin lot kene sakiti bhagas pengalamenne, semase nggeluh lot ngekhaseken;;Story/narrative
bhelajakh sungguh-sungguh, mbue nungkun bhe jeme si lebhih paham tentang kae jukhusen kite;;Story/narrative
usaheken peduli kae si iye pekhluken bhagas geluhne, masihi iye;;Story/narrative
kuusaheken mende kane mu sesue khut si nangat kite, pas ukukhen ne pe bhahani;;Story/narrative
kheken sen khut tenage, pikekhen pe apebhile nipekhluken ne;;Story/narrative
kubhahan gat kas mangan khusus makanen khas Alas kane mbue pelanggan ne;;Story/narrative
sukses menempuh S3, njadi kalak mandikhi, ndak nakh pqngku tangan bhe kalak lain atope bhe khangtue;;Story/narrative
wajib bekhsyukukh, apelagi mbuene khajeki kheken Allah bhante, hakhus nisyukukhi;;Story/narrative
sendah nde mbue alat komunikasi, njadhi mu kite komunilasi lewat hp, fb, wa, twiter, email;;Story/narrative
pasti kusungkun kae keinginen ne, kae hobine,;;Story/narrative
sipaling mende bhagas dunie nde, Alqur'an, khut hadist nabi;;Story/narrative
sebenakh ne bagas kaidah kami Agame Islam melakhang njadi tukang foto, apelagi si nifoto hewan atope makhluk si menawe;;Story/narrative
cekhiteken tentang gambakhen iklim budaye, sosial atau politik dari suatu periode waktu dari atau kas tentu bagas sejakhah;;History
cekhiteken tentang kalak tokoh sejakhah atau kae gune ne pe malet paham;;History
cekhiteken tentang tokoh sejakhah favorit nin dan kae kalak di takhik bagi iye;;History
kae pengalamen tebaik si penah kau alami saat mengunjungi kas sante;;Culture/Tourism
kae plin panganen khas atau hidangen si populer ni daerah alas nde cimpe;;Culture/Tourism
kae plin si polu niketahui oleh kalak si pot mengujungi daerah atau negakhe mu;;Culture/Tourism
kae kas sante si paling menakhik si penah kau kunjungi dan kae viilla unggu;;Culture/Tourism
kae budaye dan pariwisata dapet menjadi alat untuk promosiken keindahan daerah atau negakhe kite;;Culture/Tourism
bagiken pige tips atau rekomendasi untuk sante si mengujungi daera kite;;Culture/Tourism
kheken pige hal si mahan budaye kite unik;;Culture/Tourism
cekhiteken bagaimana budaye kite memenuhi atau membentuk cakhe berpikir dan persamaan dan;;Culture/Tourism
cekhiteken gambakhen bentuk hiburan atau aktivitas hubungan tradisional si nikmati bagas budaye kite;;Culture/Tourism
cekhiteken gambakhen bentuk tranportasi tradisional si nipakek ni budaye atau daerah kite;;Culture/Tourism
cekhiteken mengenai kesenien tradisional ni daerah kite;;Culture/Tourism
cekhiteken mengenai peran ginge gak cekhite khayat atau tradisi lisan bagas budaye kite;;Culture/Tourism
cekhiteken peran agame bagas budaye kite mengket tradisi atau praktik si unik;;Culture/Tourism
cekhiteken peran bahasa dan mecekhok bagas budaye kite mengket kate atau frasa unik;;Culture/Tourism
kune Negakhe kite akan berubah te anak anak ni izinken untuk memilih;;Story/narrative
jika kite nemu mahani acakhe tifi bage kae jadineedi;;Story/narrative
kae standakh Mejile berubah bagas geluh kite;;Story/narrative
kae cekhite baik dakhi sekolah atau kas mebahan;;Story/narrative
kae pige Kate egeken lucu bagi kite pas gedi amin kune di yeb;;Story/narrative
kune cakhen mahani dikhi bahagie kas wakhi budine;;Instructions
kae kalak mekhaseken bahagie ken ne pas iye bahagie;;Story/narrative
kae mekhubah iklim memengaruhi pemanasan global;;History
kae si hal si paling kau nagati sukai dakhi Indonesia;;Culture/Tourism
kae kau mempelajari saja Tuhan benar dan salah satunya cowok;;Story/narrative
kae cakhemu mempekholeh suatu kas melelelo;;Instructions
menukhutmu kae plin hal si akhus ni Kawatu menikah;;Story/narrative
kae kau mengucapkan ue pada suatu hal terakhi nde nu malet kutkh;;Story/narrative
te misal ne let boneka atau barang si paling get ate mu si nemu mecekhok, kae si barang mu kate ken bamu, tekhus cube jelas ken kae gat bakhang mu ngate ken gedi;;Story/narrative
cube jelas ken kune cakhe ne mendidik anak dengan cakhe benakh;;Instructions
cube jelas ken kune cakhe ne kalak bujang khut belagakh peduli dengan budaya ne sendiri;;Culture/Tourism
kune khase ne hamil, senat dan oprasi cube kamu jelas ken menurut pendapet mu;;Story/narrative
cube jelas ken kune cakhe ne garammi kas mangan si paling mejile ni kas mu tading;;Story/narrative
cube jelas ken kune mahan kalak nadi mecekhok ni waktu tertentu;;Instructions
kune cakhe ne sesuatu nemu menjadi pengaruh paling belin ni saat kamu nukokh bakhang dan kae alasen ne cube jelas ken secara singkat;;Story/narrative
